ID,jobb_etter_6mnd,utdanning,sykdom_siste_aar,arbsoker_siste_aar,forerkort,arbeid_siste_2mnd,alder,fylke,yrke,kjonn
2667,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,26,Vestfold,Kontoryrker,Mann
2682,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,32,Vestfold,"Salg, service og omsorg",Mann
2704,Nei,Høyere utd u4 år,Nei,Ja,Nei,Nei,30,Vestfold,"Salg, service og omsorg",Mann
2722,Nei,VGS fullf,Ja,Ja,Ja,Nei,29,Vestfold,Annet,Kvinne
2729,Nei,VGS fullf,Nei,Nei,Nei,Nei,56,Vestfold,Håndverkere,Mann
2737,Nei,VGS fullf,Nei,Nei,Nei,Nei,30,Vestfold,Kontoryrker,Kvinne
2740,Ja,,Nei,Nei,Ja,Ja,46,Vestfold,Renholdere og hjelpepleiere,Mann
2749,Nei,VGS ikke fullf,Nei,Nei,Nei,Ja,44,Vestfold,Renholdere og hjelpepleiere,Mann
2800,Ja,VGS ikke fullf,Ja,Ja,Nei,Ja,41,Vestfold,Håndverkere,Mann
2869,Ja,VGS fullf,Nei,Ja,Ja,Nei,33,Vestfold,Kontoryrker,Mann
2906,Nei,VGS fullf,Nei,Nei,Nei,Nei,41,Vestfold,Kontoryrker,Kvinne
2928,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,29,Vestfold,Akademiske yrker,Kvinne
2939,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,31,Vestfold,Annet,Mann
2969,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,51,Vestfold,"Bønder, fiskere, mv",Mann
2974,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,53,Vestfold,Akademiske yrker,Mann
3024,Nei,VGS fullf,Nei,Nei,Nei,Nei,35,Vestfold,Høgskoleyrker,Kvinne
3063,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,43,Vestfold,Annet,Mann
3075,Nei,Grunnskole,Nei,Nei,Ja,Nei,26,Vestfold,"Salg, service og omsorg",Kvinne
3083,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,33,Vestfold,Annet,Kvinne
3097,Ja,VGS fullf,Nei,Nei,Nei,Ja,37,Vestfold,Ledere,Kvinne
3100,Ja,VGS fullf,Ja,Nei,Ja,Ja,55,Vestfold,Annet,Mann
3120,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,44,Vestfold,"Salg, service og omsorg",Kvinne
3130,Ja,VGS fullf,Ja,Ja,Ja,Ja,27,Vestfold,Annet,Kvinne
3179,Ja,VGS fullf,Nei,Nei,Ja,Nei,26,Vestfold,Ledere,Mann
3180,Ja,VGS ikke fullf,Ja,Ja,Ja,Nei,29,Vestfold,Høgskoleyrker,Mann
3183,Ja,VGS fullf,Ja,Nei,Nei,Ja,28,Vestfold,Høgskoleyrker,Kvinne
3196,Nei,Grunnskole,Nei,Nei,Nei,Nei,34,Vestfold,Annet,Kvinne
3210,Nei,,Nei,Nei,Ja,Nei,43,Vestfold,Kontoryrker,Kvinne
3212,Nei,Høyere utd u4 år,Nei,Ja,Ja,Nei,26,Vestfold,Høgskoleyrker,Kvinne
3213,Ja,Høyere utd 4 år+,Nei,Nei,Nei,Nei,53,Vestfold,Akademiske yrker,Kvinne
3216,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,32,Vestfold,Annet,Mann
3219,Nei,VGS fullf,Nei,Ja,Nei,Ja,26,Vestfold,Annet,Mann
3256,Nei,Høyere utd u4 år,Nei,Ja,Nei,Nei,34,Vestfold,"Salg, service og omsorg",Mann
3271,Ja,Høyere utd u4 år,Ja,Nei,Nei,Ja,46,Vestfold,Høgskoleyrker,Mann
3292,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,38,Vestfold,Renholdere og hjelpepleiere,Mann
3305,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,31,Vestfold,Annet,Kvinne
3336,Nei,,Nei,Nei,Ja,Nei,28,Vestfold,Maskin og transportarbeidere,Mann
3367,Ja,VGS fullf,Nei,Nei,Ja,Ja,32,Vestfold,"Salg, service og omsorg",Mann
3368,Nei,VGS fullf,Nei,Nei,Nei,Ja,32,Vestfold,Maskin og transportarbeidere,Mann
3369,Ja,VGS ikke fullf,Nei,Ja,Nei,Ja,27,Vestfold,"Salg, service og omsorg",Mann
3371,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,34,Vestfold,Kontoryrker,Kvinne
3373,Nei,,Nei,Nei,Nei,Nei,29,Vestfold,Renholdere og hjelpepleiere,Kvinne
3384,Nei,VGS fullf,Nei,Ja,Nei,Nei,59,Vestfold,Høgskoleyrker,Mann
3406,Ja,VGS fullf,Nei,Nei,Nei,Ja,30,Vestfold,Høgskoleyrker,Kvinne
3413,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,33,Vestfold,Maskin og transportarbeidere,Mann
3431,Nei,VGS fullf,Nei,Nei,Nei,Nei,53,Vestfold,"Salg, service og omsorg",Mann
3438,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,41,Vestfold,"Salg, service og omsorg",Kvinne
3446,Ja,Høyere utd u4 år,Nei,Ja,Nei,Nei,59,Vestfold,"Salg, service og omsorg",Kvinne
3458,Nei,,Nei,Nei,Nei,Ja,42,Vestfold,Renholdere og hjelpepleiere,Kvinne
3510,Ja,VGS fullf,Nei,Nei,Nei,Nei,44,Vestfold,Annet,Mann
3521,Ja,VGS ikke fullf,Ja,Ja,Ja,Ja,36,Vestfold,Høgskoleyrker,Mann
3540,Ja,VGS ikke fullf,Nei,Nei,Nei,Nei,38,Vestfold,"Salg, service og omsorg",Kvinne
3571,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,36,Vestfold,Maskin og transportarbeidere,Kvinne
3589,Nei,VGS ikke fullf,Nei,Nei,Nei,Ja,43,Vestfold,Annet,Mann
3602,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,35,Vestfold,Høgskoleyrker,Mann
3609,Nei,Grunnskole,Nei,Ja,Ja,Nei,45,Vestfold,Høgskoleyrker,Mann
3647,Ja,VGS ikke fullf,Ja,Ja,Nei,Nei,29,Vestfold,Håndverkere,Mann
3672,Ja,Høyere utd u4 år,Nei,Nei,Nei,Nei,58,Vestfold,Ledere,Mann
3676,Ja,VGS ikke fullf,Nei,Ja,Nei,Ja,38,Vestfold,Høgskoleyrker,Kvinne
3703,Nei,Grunnskole,Nei,Nei,Nei,Ja,43,Vestfold,"Salg, service og omsorg",Mann
3704,Ja,VGS fullf,Nei,Nei,Nei,Nei,27,Vestfold,Kontoryrker,Kvinne
3708,Nei,,Nei,Ja,Nei,Nei,42,Vestfold,Håndverkere,Mann
3715,Ja,VGS ikke fullf,Ja,Nei,Nei,Nei,55,Vestfold,"Salg, service og omsorg",Mann
3716,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,30,Vestfold,Annet,Mann
3719,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,39,Vestfold,Håndverkere,Kvinne
3750,Ja,,Nei,Ja,Nei,Nei,28,Vestfold,Renholdere og hjelpepleiere,Kvinne
3752,Nei,VGS fullf,Ja,Nei,Nei,Ja,42,Vestfold,"Salg, service og omsorg",Kvinne
3756,Nei,Grunnskole,Nei,Nei,Ja,Nei,40,Vestfold,Høgskoleyrker,Mann
3771,Nei,VGS ikke fullf,Nei,Ja,Nei,Ja,39,Vestfold,Akademiske yrker,Mann
3780,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,38,Vestfold,Annet,Kvinne
3822,Ja,VGS fullf,Nei,Nei,Ja,Nei,33,Vestfold,Renholdere og hjelpepleiere,Kvinne
3829,Ja,,Nei,Nei,Nei,Nei,46,Vestfold,Kontoryrker,Mann
3879,Nei,VGS ikke fullf,Nei,Ja,Ja,Ja,31,Vestfold,"Salg, service og omsorg",Kvinne
3882,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,40,Vestfold,Håndverkere,Kvinne
3912,Nei,,Nei,Nei,Nei,Nei,43,Vestfold,Ledere,Mann
3941,Nei,Høyere utd 4 år+,Ja,Nei,Nei,Nei,25,Vestfold,Akademiske yrker,Mann
3955,Ja,VGS ikke fullf,Nei,Ja,Nei,Ja,45,Vestfold,Renholdere og hjelpepleiere,Mann
3963,Nei,VGS fullf,Nei,Nei,Ja,Nei,29,Vestfold,Maskin og transportarbeidere,Mann
4007,Ja,VGS ikke fullf,Nei,Nei,Nei,Nei,47,Vestfold,Kontoryrker,Mann
4023,Nei,Grunnskole,Nei,Nei,Ja,Nei,28,Vestfold,Renholdere og hjelpepleiere,Mann
4027,Ja,VGS fullf,Nei,Nei,Ja,Ja,34,Vestfold,Akademiske yrker,Kvinne
4119,Ja,VGS fullf,Ja,Nei,Ja,Ja,44,Vestfold,"Salg, service og omsorg",Mann
4131,Nei,VGS fullf,Nei,Nei,Nei,Nei,41,Vestfold,Kontoryrker,Kvinne
4182,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,32,Vestfold,Håndverkere,Mann
4221,Ja,VGS ikke fullf,Nei,Nei,Nei,Ja,33,Vestfold,Ledere,Kvinne
4279,Nei,Grunnskole,Nei,Nei,Ja,Nei,30,Vestfold,Høgskoleyrker,Kvinne
4299,Nei,VGS fullf,Nei,Ja,Nei,Nei,30,Vestfold,"Salg, service og omsorg",Kvinne
4304,Nei,,Nei,Ja,Ja,Ja,19,Vestfold,"Salg, service og omsorg",Kvinne
4322,Nei,VGS ikke fullf,Nei,Nei,Nei,Ja,34,Vestfold,Ledere,Kvinne
4323,Ja,VGS fullf,Nei,Nei,Ja,Ja,36,Vestfold,Renholdere og hjelpepleiere,Kvinne
4369,Nei,Grunnskole,Nei,Nei,Ja,Ja,50,Vestfold,"Salg, service og omsorg",Kvinne
4396,Nei,Grunnskole,Ja,Nei,Ja,Ja,51,Vestfold,Annet,Mann
4398,Ja,VGS fullf,Nei,Nei,Nei,Ja,34,Vestfold,Renholdere og hjelpepleiere,Mann
4424,Ja,VGS ikke fullf,Ja,Ja,Nei,Nei,49,Vestfold,Renholdere og hjelpepleiere,Mann
4483,Nei,VGS fullf,Nei,Nei,Ja,Nei,34,Vestfold,Akademiske yrker,Mann
4488,Ja,VGS ikke fullf,Nei,Nei,Nei,Nei,21,Vestfold,Høgskoleyrker,Mann
4489,Ja,,Ja,Nei,Ja,Ja,54,Vestfold,Akademiske yrker,Mann
4500,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,38,Vestfold,Kontoryrker,Mann
4523,Nei,VGS fullf,Nei,Nei,Nei,Nei,27,Vestfold,"Salg, service og omsorg",Kvinne
4543,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,32,Vestfold,Akademiske yrker,Mann
4634,Nei,VGS ikke fullf,Nei,Ja,Ja,Nei,49,Vestfold,Kontoryrker,Kvinne
4642,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Ja,45,Vestfold,Høgskoleyrker,Mann
4643,Ja,VGS fullf,Nei,Nei,Nei,Nei,21,Vestfold,Høgskoleyrker,Mann
4653,Nei,Grunnskole,Nei,Nei,Nei,Ja,60,Vestfold,Ledere,Mann
4661,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,37,Vestfold,"Salg, service og omsorg",Kvinne
4724,Nei,VGS fullf,Nei,Nei,Nei,Nei,31,Vestfold,Annet,Mann
4727,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,35,Vestfold,"Salg, service og omsorg",Mann
4748,Ja,VGS fullf,Nei,Nei,Nei,Nei,51,Vestfold,Kontoryrker,Mann
4757,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,37,Vestfold,Renholdere og hjelpepleiere,Mann
4768,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,25,Vestfold,"Salg, service og omsorg",Kvinne
4780,Nei,VGS ikke fullf,Nei,Ja,Nei,Ja,32,Vestfold,Høgskoleyrker,Mann
4802,Ja,VGS fullf,Nei,Ja,Nei,Ja,45,Vestfold,"Bønder, fiskere, mv",Mann
4889,Nei,,Nei,Nei,Ja,Nei,41,Vestfold,Maskin og transportarbeidere,Mann
4905,Ja,Høyere utd 4 år+,Nei,Nei,Nei,Ja,32,Vestfold,"Salg, service og omsorg",Mann
4914,Nei,Høyere utd u4 år,Nei,Ja,Ja,Nei,40,Vestfold,Høgskoleyrker,Mann
5011,Nei,VGS ikke fullf,Ja,Nei,Nei,Ja,33,Vestfold,Håndverkere,Mann
5012,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,38,Vestfold,Kontoryrker,Mann
5096,Ja,VGS ikke fullf,Nei,Ja,Nei,Nei,23,Vestfold,"Bønder, fiskere, mv",Kvinne
5109,Nei,VGS ikke fullf,Nei,Ja,Ja,Nei,55,Vestfold,Annet,Kvinne
5127,Nei,Høyere utd u4 år,Nei,Ja,Ja,Nei,35,Vestfold,Kontoryrker,Mann
5178,Nei,VGS fullf,Nei,Ja,Nei,Ja,38,Vestfold,Ledere,Kvinne
5179,Nei,Grunnskole,Nei,Nei,Ja,Ja,32,Vestfold,Kontoryrker,Mann
5185,Nei,VGS fullf,Nei,Ja,Nei,Ja,37,Vestfold,Håndverkere,Kvinne
5206,Ja,VGS fullf,Nei,Nei,Ja,Nei,41,Vestfold,Annet,Mann
5208,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,35,Vestfold,Maskin og transportarbeidere,Kvinne
5239,Ja,Høyere utd u4 år,Nei,Ja,Nei,Ja,37,Vestfold,Høgskoleyrker,Mann
5272,Nei,VGS fullf,Ja,Ja,Nei,Nei,58,Vestfold,Akademiske yrker,Mann
5331,Nei,Grunnskole,Nei,Nei,Nei,Nei,24,Vestfold,Renholdere og hjelpepleiere,Mann
5339,Nei,VGS fullf,Ja,Nei,Ja,Nei,49,Vestfold,Maskin og transportarbeidere,Mann
5340,Nei,Grunnskole,Nei,Nei,Ja,Nei,37,Vestfold,"Salg, service og omsorg",Kvinne
5354,Nei,Grunnskole,Nei,Nei,Ja,Nei,34,Vestfold,Maskin og transportarbeidere,Mann
5362,Ja,VGS fullf,Nei,Ja,Ja,Ja,33,Vestfold,Kontoryrker,Kvinne
5405,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,40,Vestfold,"Salg, service og omsorg",Mann
